Country Name,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,6846.470569,6177.642355,6422.799332,7937.483144,8417.417529,9201.625332,10291.3391,11407.98606,12822.08141,14346.51408,14180.47842,14955.25983,15746.5389,16326.43153,16648.50693,17615.10889,18384.75357,20064.90795,21455.8755,23004.31955,25526.2811,25735.00085,29404.96051,35463.55499
Belarus,4044.094461,5067.291847,5802.473341,6705.036472,7370.385876,8492.904038,9648.233108,11007.53804,12334.52388,13902.47446,14050.70844,15364.02984,16563.20141,18114.75086,19014.05297,19037.82095,18133.56963,17832.47789,18413.71274,20026.03067,22301.57669,24872.3399,27611.18011,28406.06615
Belize,6076.430515,6315.550266,7525.905207,8121.815206,8807.042833,9193.120744,9406.700714,9841.032743,10144.2312,9897.563302,9645.507732,9640.297074,9588.608909,9145.726881,9378.916507,9340.362116,9451.563574,9336.419937,9086.911909,9479.911474,10436.33353,9540.67115,11559.8906,13280.59839
Brazil,8208.918993,8504.283625,8995.851894,9511.453991,9694.265706,10409.07625,10956.12292,11615.64046,12524.56804,13284.39469,13222.87769,14256.55947,14989.15778,14962.36844,15469.53539,15564.801,14567.70606,14057.31325,14293.60464,15165.06315,15741.4785,15759.07823,17672.9168,19398.58981
Bhutan,2553.954839,2828.690667,3106.579375,3627.209762,3888.963442,4100.233671,4431.176468,4754.266985,5599.994298,5896.159562,6314.700239,7074.581996,7734.717806,8385.919217,8488.437074,9141.577063,10024.29561,11078.92381,11649.83204,11932.85633,12864.77801,12434.67452,13423.42887,15021.72899
Botswana,7502.058994,8023.905001,8923.469889,9479.194716,9937.825113,10299.53078,10908.62423,11958.7509,12741.39038,13139.72502,11119.91449,12141.48683,12976.5292,12091.68763,12880.30526,14417.01321,13518.48486,15416.58452,14817.57128,14805.29163,14889.8073,14208.27016,16663.86854,18516.19134
Georgia,2253.095233,2795.394477,3161.195825,3718.686933,4239.938414,4634.777576,5271.950953,5980.443905,6951.085843,7278.663122,7119.142791,7711.806839,8563.835549,10059.98206,10797.34233,11770.69894,12269.65289,13065.29416,13718.93787,15021.90576,16770.13338,16791.25987,18915.6534,22442.78672
Guatemala,4161.465223,4474.453411,4758.834656,5009.918372,5126.609056,5315.447232,5545.315787,5901.431392,6319.35569,6526.240907,6474.860013,6619.863141,6910.876502,7409.407805,7875.68884,8438.674124,9166.040272,9457.843748,9845.384773,10250.27449,11079.62731,11270.78233,12106.42254,13299.60235
Indonesia,4850.790798,4397.090203,4682.496616,5121.673837,5399.724306,5750.204743,6189.56886,6644.53394,7162.984355,7639.919098,7941.243696,8431.821765,9022.72138,9624.588232,9966.382935,10168.67606,10132.31608,10371.44233,10802.7126,11494.94485,12115.70207,11856.94333,12897.10314,14445.64316
India,1688.530251,1847.383915,2087.482056,2275.592233,2460.134123,2681.216657,2936.898878,3222.014495,3510.963992,3636.969354,3892.567908,4216.183993,4467.466655,4835.477665,5032.593975,5211.570321,5446.188766,5823.481542,6169.499918,6742.707913,7181.522654,6997.358393,8087.993803,9199.567739
Jamaica,6337.771397,6188.005276,6452.695011,6857.907192,7214.743225,7470.201903,7736.005782,8166.722596,8471.678319,8532.741684,8179.043027,8123.512242,8396.881317,8411.763919,8663.099548,8761.684647,9011.58697,9423.471276,9846.041407,10064.76638,10117.56417,9024.006603,9610.989337,10826.09346
Jordan,5387.996969,5611.34227,6009.664727,6660.351398,6916.410582,7520.898636,8172.778328,8511.547736,8875.62455,9466.705813,9785.816438,9913.590754,10133.77152,10245.27512,10195.4876,9285.876067,9014.7599,8784.496307,9282.608086,9044.508027,9405.42016,9523.548171,9115.019511,9871.875153
Kazakhstan,6149.937041,6523.747606,7725.954827,10014.71414,11124.70515,12433.84374,13943.10778,15743.61177,17409.01352,17989.88213,17958.48761,19229.93564,20779.44425,22021.28149,24480.54099,24689.81552,23178.2224,23760.001,24789.30137,25997.28609,29767.628,30164.60352,33893.89546,36595.40669
Sri Lanka,3500.042911,3959.537037,4487.995605,4686.802054,5012.75377,5375.691388,5835.381539,6412.451097,6960.984813,7440.563936,7676.90507,8317.495187,9140.504317,10323.44265,10961.48433,11465.95138,12017.03272,12946.40814,13576.41704,14178.02254,14112.9525,12940.90451,14316.13649,14182.30818
Lesotho,1112.773396,1186.792946,1276.289169,1383.202432,1478.160295,1549.542644,1660.177062,1784.348091,1903.006689,2034.9595,2007.595643,2124.714206,2252.036207,2268.784986,2516.924666,2751.203047,3014.721737,2923.723188,2602.522208,2615.025922,2549.535277,2537.792082,2516.977753,2699.990941
Moldova,3021.309883,2964.601517,3044.670506,3632.610918,3959.95151,4378.174758,4865.934564,5271.389704,5589.568508,6153.351521,5827.178889,6323.062879,6832.941565,7254.66249,8232.523805,8643.064314,9197.618382,10325.84049,11252.11355,11868.19555,13413.22329,13527.44131,15682.07033,16301.76569
Mauritius,7203.759856,8118.171453,9139.703671,9819.99036,10530.75073,11211.64764,11699.24763,12587.97176,13607.33269,14563.88875,15099.35024,15913.90992,16877.46517,17249.89328,18225.23757,19066.44305,20011.33331,21670.4566,22595.72908,23068.24097,24027.11893,21326.2244,22737.57294,26579.75609
Nepal,1108.170128,1185.774602,1316.132859,1390.261592,1453.514661,1543.202255,1629.34703,1720.79521,1814.392444,1949.991461,2039.924927,2153.4345,2264.329511,2484.259958,2678.256056,2923.41058,2980.152302,2986.195676,3582.687679,3896.862911,4198.840645,4180.436985,4461.468785,4959.883465
Peru,4538.186006,4776.534806,5001.395186,5373.452017,5648.0829,6028.489915,6548.803015,7199.213387,7962.600938,8793.45647,8882.012043,9665.654145,10400.94848,10685.11519,11207.52979,11427.38119,11504.34799,11963.33844,12479.964,12953.81755,13408.35324,12387.45135,15028.6277,16363.08639
Philippines,3136.412397,3215.480107,3437.53241,3658.93215,3842.628138,4122.441427,4376.299424,4662.420971,5006.411297,5225.897161,5237.02859,5587.865598,5818.593668,6227.502045,6524.72245,6849.937686,7046.940393,7513.633698,7874.391183,8426.753323,8958.371064,8230.311614,8797.168712,9983.287753
